
                           PyRate - 20170222

           Bayesian estimation of speciation and extinction
                  rates from fossil occurrence data        

               Daniele Silvestro, Jan Schnitzler et al.
                        pyrate.help@gmail.com




The analysis includes 211 species (0 were excluded)
Using Gamma priors on the birth-death rates (G_l[1.1,1.1], G_m[1.1,1.1]).


DATA SUMMARY

211 species included in the data set
51 species have a single occurrence, 9 species are extant
2946 fossil occurrences (1 replicates), ranging from 53.488 (+/- 0.0) to 0.001 (+/- 0.0) Ma

Taxon	FA	LA
Aelurodon	15.944	9.876	
Aelurodon_asthenostylus	17.724	14.351	
Aelurodon_ferox	22.985	8.372	
Aelurodon_mcgrewi	15.523	11.276	
Aelurodon_montanensis	14.392	14.392	
Aelurodon_stirtoni	14.486	5.584	
Aelurodon_taxoides	19.04	5.088	
Aelurodon_wheelerianus	19.76	19.76	
Alopex	1.676	1.676	
Alopex_lagopus	1.396	0.003	
Archaeocyon_falkenbachi	21.147	21.147	
Archaeocyon_leptodus	33.182	21.822	
Archaeocyon_pavidus	32.828	27.961	
Borophaginae	24.625	5.279	
Borophagus	21.185	1.852	
Borophagus_diversidens	4.879	1.918	
Borophagus_dudleyi	4.836	4.836	
Borophagus_hilli	18.481	2.687	
Borophagus_littoralis	13.945	6.03	
Borophagus_orc	8.335	4.8	
Borophagus_parvus	6.684	5.432	
Borophagus_pugnator	21.186	5.174	
Borophagus_secundus	22.884	6.114	
Caedocyon_tedfordi	23.103	23.103	
Canidae	36.189	0.019	
Caninae	25.76	0.053	
Canini	9.262	1.893	
Canis	20.724	0.001	
Canis_(Pseudalopex)	1.395	0.052	
Canis_adustus	3.479	0.004	extant
Canis_anthus	1.931	1.021	extant
Canis_apolloniensis	1.399	1.399	
Canis_armbrusteri	1.617	0.105	
Canis_aureus	3.255	0.002	extant
Canis_cedazoensis	0.607	0.607	
Canis_dirus	2.569	0.012	
Canis_edwardii	10.189	0.318	
Canis_familiaris	2.032	0.002	extant
Canis_ferox	9.921	2.271	
Canis_latrans	3.994	0.002	extant
Canis_lepophagus	8.682	0.047	
Canis_lupus	2.633	0.002	extant
Canis_mesomelas	4.109	0.003	extant
Canis_proplatensis	1.537	1.537	
Canis_rufus	4.503	0.045	extant
Canis_thooides	3.759	3.759	
Carpocyon	15.104	9.998	
Carpocyon_compressus	15.852	10.054	
Carpocyon_limosus	9.544	7.33	
Carpocyon_robustus	21.0	10.916	
Carpocyon_webbi	14.527	9.954	
Cerdocyon_avius	4.339	3.406	
Cerdocyon_texanus	8.995	2.018	
Cerdocyon_thous	0.125	0.003	
Chailicyon_crassidens	41.46	41.46	
Chrysocyon	2.547	2.547	
Chrysocyon_brachyurus	2.262	2.08	
Chrysocyon_nearcticus	3.954	3.046	
Cormocyon	29.763	29.763	
Cormocyon_copei	30.181	9.982	
Cormocyon_haydeni	30.189	20.807	
Cubacyon_transversidens	1.687	1.687	
Cuon	0.652	0.035	
Cuon_alpinus	0.395	0.07	
Cynarctoides_acridens	24.795	13.691	
Cynarctoides_emryi	20.195	19.331	
Cynarctoides_gawnae	17.749	16.698	
Cynarctoides_harlowi	20.817	20.817	
Cynarctoides_lemur	30.521	21.03	
Cynarctoides_luskensis	30.123	22.236	
Cynarctoides_roii	30.624	26.754	
Cynarctoides_whistleri	19.798	19.16	
Cynarctus	14.455	12.372	
Cynarctus_crucidens	16.099	6.237	
Cynarctus_galushai	15.099	14.103	
Cynarctus_marylandica	17.752	14.839	
Cynarctus_saxatilis	15.875	13.853	
Cynarctus_voorhiesi	12.099	10.575	
Cynarctus_wangi	15.951	15.951	
Cynodesmus_martini	25.888	25.888	
Cynodesmus_thooides	33.23	22.065	
Cynodictis	53.488	29.376	
Cynodictis_lacustris	37.475	33.901	
Cynotherium	2.462	0.029	
Cynotherium_sardous	0.624	0.122	
Desmocyon	20.85	20.85	
Desmocyon_matthewi	19.601	16.708	
Desmocyon_thomsoni	30.223	11.344	
Dusicyon	1.414	0.003	
Dusicyon_avus	0.558	0.033	
Dusicyon_culpaeus	1.348	1.348	
Dusicyon_sechurae	0.499	0.499	
Ectopocynus_antiquus	31.846	29.329	
Ectopocynus_intermedius	23.436	23.436	
Ectopocynus_simplicidens	20.096	17.5	
